00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
LAMA4	0	0	9	6	14	0	0	0	0
LAMA5	1	41	61	124	233	55	18	38	101
LAMA5-AS1	0	0	0	0	0	0	0	0	0
LAMB1	0	0	7	4	7	0	0	0	2
LAMB2	0	0	1	0	1	0	0	0	0
LAMB2,p12@LAMC1	0	0	26	18	50	0	0	0	0
LAMB3	2	37	14	27	25	48	9	48	37
LAMB4	0	0	0	0	0	0	0	0	0
LAMC1	1	15	11	14	9	34	3	8	1
LAMC2	0	0	3	1	3	0	0	0	0
LAMC3	0	0	20	12	11	0	0	0	0
LAMP1	179	1893	842	996	1420	2107	236	1675	1248
LAMP2	75	199	71	112	99	319	36	171	92
LAMP3	21	5	6	7	18	11	2	3	5
LAMP5	0	1	3	0	1	0	0	0	0
LAMTOR1	247	1766	243	452	569	1257	228	1715	1201
LAMTOR2	186	737	94	177	208	738	116	887	368
LAMTOR3	340	846	219	297	331	955	190	894	488
LAMTOR4	21	478	229	361	298	385	64	710	351
LAMTOR5	104	1323	172	296	303	1290	169	1582	620
LAMTOR5-AS1	9	24	7	16	13	35	6	20	11
LANCL1	22	167	47	76	91	153	11	138	97
LANCL1-AS1	0	0	0	0	0	0	0	0	0
LANCL2	19	111	60	73	140	90	10	87	78
LANCL3	0	0	0	0	0	0	0	0	0
LAP3	294	677	182	218	282	714	201	585	397
LAP3P2	0	1	3	0	2	5	0	1	1
LAPTM4A	775	3903	1990	3043	2519	4911	463	3826	1428
LAPTM4A-DT	0	0	2	3	3	1	0	3	1
LAPTM4B	69	207	12	52	28	2029	141	567	327
LAPTM5	4713	36629	11166	16609	18961	32687	4401	23383	21029
LARGE-AS1	0	0	0	0	0	0	0	0	0
LARGE1	0	0	0	0	0	0	0	0	0
LARGE2	0	0	0	1	6	0	0	0	0
LARP1	31	556	387	584	709	511	80	400	363
LARP1B	188	204	127	154	265	370	92	152	132
LARP4	171	337	79	114	130	383	43	216	133
LARP4B	90	503	154	192	264	493	101	370	422
LARP6	1	0	4	3	5	0	0	0	1
LARP7	325	557	211	283	285	532	87	331	250
LARS1	300	665	286	424	509	1466	304	636	456
LARS2	24	91	32	38	60	168	25	140	95
LARS2-AS1	0	0	0	0	0	0	0	0	0
LAS1L	105	270	124	221	202	304	53	238	127
LASP1	658	3490	705	730	1175	5816	1312	2606	3510
LASTR	0	0	0	0	0	0	0	0	1
LAT	618	4250	1430	1829	2734	4136	1007	3706	3555
LAT2	203	1962	1440	1477	2036	2388	272	2567	1643
LATS1	255	202	131	201	202	218	21	203	139
LATS2	48	107	342	430	584	161	27	91	109
LAX1	681	4318	1934	1749	2544	6735	862	2896	2048
LAYN	1	0	1	2	4	0	0	0	0
LBH	377	1430	137	99	146	3159	223	1102	199
LBHD1	8	113	19	31	47	123	22	88	130
LBP	0	0	0	0	0	0	0	0	1
LBR	55	336	15	27	19	480	47	510	104
LBX2	2	56	13	18	11	34	8	60	55
LBX2-AS1	47	288	86	96	112	341	27	351	105
LCA5	12	30	22	46	36	30	8	24	22
LCA5L	0	2	7	16	19	5	0	1	5
LCAL1	0	0	0	0	0	0	0	0	0
LCAT	1	32	3	1	8	3	1	21	16
LCE1C	0	0	0	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0	0
