00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
RNF135	1	140	65	75	140	125	23	147	116
RNF138	95	613	357	558	614	483	83	530	452
RNF139	68	386	244	292	379	302	40	248	221
RNF139-AS1	38	76	46	57	48	64	9	67	27
RNF14	28	205	53	97	83	208	22	190	127
RNF141	63	270	67	95	119	334	51	287	108
RNF144A	16	293	19	13	35	54	24	193	392
RNF144B	3	3	8	22	12	7	0	5	9
RNF145	124	178	170	281	188	78	19	81	60
RNF146	47	408	174	283	274	409	45	466	255
RNF148	0	0	0	0	0	0	0	0	0
RNF149	151	266	292	337	439	331	161	205	253
RNF14P2	0	4	0	1	1	7	0	2	4
RNF150	0	0	5	0	4	0	0	1	0
RNF151	0	0	0	0	0	0	0	0	0
RNF152	0	9	22	27	39	71	0	12	6
RNF157	1	18	10	2	8	3	0	19	13
RNF157-AS1	0	0	0	0	0	0	0	0	0
RNF165	40	357	1	0	0	303	7	201	37
RNF166	15	797	181	257	270	620	137	584	709
RNF167	107	813	326	493	598	1361	171	977	712
RNF168	65	330	316	436	511	311	51	349	333
RNF169	18	576	182	267	326	285	44	274	697
RNF17	0	0	0	8	4	14	0	3	0
RNF170	19	130	49	56	105	179	17	93	59
RNF175	0	0	1	0	0	0	0	0	0
RNF180	0	0	1	1	9	1	0	0	2
RNF181	68	531	152	226	222	580	138	672	291
RNF182	1	2	0	0	0	0	0	0	0
RNF185	27	336	78	122	156	257	52	299	173
RNF186	0	0	0	0	0	0	0	0	0
RNF187	51	2057	624	984	1372	1992	248	1861	1256
RNF19A	519	397	307	498	377	258	48	189	164
RNF19B	6	417	103	68	166	264	27	215	474
RNF2	107	468	201	245	262	365	57	355	359
RNF20	193	240	95	194	183	280	23	205	145
RNF207	0	5	4	1	4	3	0	5	1
RNF208	0	4	0	0	1	4	2	2	8
RNF212	0	2	1	0	1	0	0	0	1
RNF212B	0	0	0	0	0	0	0	0	0
RNF213	30	275	95	138	199	263	15	198	225
RNF213-AS1	1	1	7	15	21	2	3	3	3
RNF214	10	76	36	60	54	76	9	54	32
RNF215	2	50	17	19	30	34	6	62	68
RNF216	205	650	353	433	611	977	116	598	364
RNF216P1	61	382	147	254	241	399	64	264	143
RNF217	0	0	7	8	5	0	0	2	2
RNF217-AS1	0	0	1	2	4	0	0	0	0
RNF220	29	495	243	375	415	492	171	431	678
RNF222	0	0	0	0	0	0	0	0	0
RNF223	0	0	6	4	2	0	0	0	0
RNF225	0	0	1	0	1	0	0	0	0
RNF227	2	34	20	40	39	26	6	38	28
RNF24	2	15	45	62	95	36	4	20	8
RNF25	68	189	71	94	125	160	57	150	99
RNF26	85	466	167	228	247	602	104	440	455
RNF31	7	376	175	223	289	337	86	436	360
RNF32	1	35	63	58	152	34	4	21	11
RNF34	98	319	97	137	211	295	47	305	197
RNF38	466	429	165	266	341	272	60	240	328
RNF4	461	930	274	335	436	920	171	725	432
RNF40	28	340	188	236	270	403	70	413	281
RNF41	29	149	57	74	114	122	24	141	114
RNF43	0	0	0	1	4	0	0	0	1
RNF44	55	389	317	403	549	263	77	245	501
RNF5	22	106	83	106	132	118	12	128	85
RNF6	152	319	168	218	223	428	42	295	189
RNF7	149	557	127	262	196	760	85	833	222
RNF8	53	167	61	65	116	198	26	176	166
RNFT1	64	363	50	88	74	516	40	354	140
RNFT1-DT	7	23	8	4	10	35	4	15	15
RNFT2	1	13	0	4	9	21	2	20	9
RNGTT	73	234	101	135	162	286	66	254	250
RNH1	44	1043	604	672	1119	1116	240	1379	678
RNLS	0	6	12	20	25	5	1	10	1
RNMT	60	184	136	219	187	225	26	173	83
RNPC3	155	369	190	375	254	521	96	309	317
RNPEP	13	490	106	242	202	434	49	514	450
RNPEPL1	7	663	115	132	250	497	73	589	897
RNPS1	22	73	25	37	41	46	16	56	43
RNPS1P1	0	2	1	1	0	2	0	7	5
RNU1-1,p1@RNU1-2,p1@RNU1-3,p1@RNU1-4,p1@RNVU1-18	0	0	0	0	0	0	0	0	0
RNU1-100P	0	0	0	0	1	0	0	0	0
RNU1-101P	0	1	2	4	0	0	0	0	0
RNU1-107P	0	0	0	0	0	2	0	3	3
RNU1-108P	0	0	4	2	1	1	0	1	0
RNU1-109P	0	0	0	0	0	0	0	0	0
RNU1-112P	0	1	0	1	0	0	1	1	0
RNU1-115P	0	2	0	0	0	2	0	1	3
RNU1-119P	0	0	0	0	1	0	0	0	0
RNU1-11P	0	2	5	9	9	4	1	9	9
RNU1-125P	0	0	0	0	0	0	0	0	0
RNU1-134P	0	8	12	14	19	9	0	9	10
RNU1-136P	0	1	0	1	1	1	0	0	0
RNU1-138P	0	0	1	1	4	1	0	2	0
RNU1-140P	0	0	0	0	0	0	0	0	0
RNU1-146P	0	0	0	0	0	3	0	4	0
RNU1-148P	0	4	12	13	9	4	1	4	2
RNU1-14P	0	4	5	6	2	2	0	5	1
RNU1-150P	0	0	0	0	0	0	0	0	0
RNU1-155P	0	0	0	0	0	0	0	0	0
RNU1-16P	0	0	0	0	0	0	0	0	0
RNU1-18P	0	1	2	0	3	0	0	0	1
RNU1-21P	0	0	0	0	0	0	1	2	0
RNU1-27P	0	0	0	0	0	0	0	0	0
RNU1-28P	0	0	0	0	0	0	0	1	0
RNU1-32P	1	6	4	15	15	2	0	6	5
RNU1-35P	0	0	0	2	1	1	0	3	0
RNU1-36P	1	1	2	2	3	3	0	2	2
RNU1-38P	1	5	6	14	6	1	0	4	3
RNU1-39P	0	0	1	0	2	2	1	1	1
RNU1-42P	0	2	0	2	1	1	1	0	3
RNU1-43P	0	1	1	2	3	2	0	0	1
RNU1-44P	0	0	4	8	12	6	2	8	1
RNU1-45P	0	0	0	0	0	0	0	0	0
RNU1-47P	0	0	0	0	0	0	0	0	1
RNU1-51P	0	0	0	0	0	0	0	0	0
RNU1-55P	0	0	1	0	0	0	0	0	0
RNU1-56P	0	0	0	0	0	0	1	2	0
RNU1-67P	0	0	0	1	1	0	0	0	0
RNU1-72P	1	0	0	1	0	0	1	0	1
RNU1-74P	0	1	2	0	0	0	0	2	2
RNU1-77P	0	0	0	0	0	0	0	0	0
RNU1-80P	0	0	0	0	1	1	0	0	0
RNU1-82P	0	1	9	8	11	5	0	8	4
RNU1-83P	0	0	2	1	1	0	0	2	1
RNU1-84P	0	0	0	0	2	1	0	0	0
RNU1-88P	0	5	12	22	13	12	2	13	14
RNU1-91P	0	0	1	2	1	0	0	0	1
RNU1-96P	0	0	0	0	1	0	0	1	1
RNU1-98P	0	0	1	0	0	0	0	0	0
RNU11	8	36	149	331	294	46	9	29	28
RNU12,p1@RNU12-2P	6	36	109	369	295	33	10	51	51
RNU2-13P	0	1	0	1	1	2	0	0	1
RNU2-17P	0	2	1	7	2	9	3	3	8
RNU2-18P	0	2	0	0	1	0	0	1	1
RNU2-19P	0	2	0	2	0	3	0	0	0
RNU2-23P	0	5	3	2	0	2	0	0	0
RNU2-26P	0	2	0	3	1	0	0	0	0
RNU2-2P	0	0	13	33	29	1	0	1	4
RNU2-2P,p2@WDR74	0	1	0	0	0	3	1	0	3
RNU2-4P	0	0	2	1	1	1	0	0	1
RNU2-52P	0	1	0	2	0	1	0	0	1
RNU2-63P	1	7	226	531	235	90	13	33	44
RNU4-1	0	3	1	9	9	10	0	27	3
RNU4-10P	0	0	0	1	0	0	0	3	0
RNU4-11P	0	0	0	0	0	0	0	1	0
RNU4-12P	0	0	0	0	0	0	0	1	0
RNU4-13P	0	0	0	0	0	0	0	0	0
RNU4-14P	0	0	0	0	0	0	0	0	0
RNU4-15P	0	0	0	0	0	0	0	0	0
RNU4-16P	0	0	0	0	0	0	0	0	1
RNU4-18P	0	0	0	1	0	0	0	3	0
RNU4-2	1	42	28	124	46	142	5	304	15
RNU4-22P	0	0	0	0	0	0	0	0	0
RNU4-25P	0	1	8	18	17	3	1	10	5
RNU4-28P	0	0	0	0	0	0	0	0	0
RNU4-29P	0	0	0	0	0	0	0	0	0
RNU4-30P	0	1	0	0	0	0	0	1	1
RNU4-31P	0	0	0	0	0	0	0	5	0
RNU4-35P	0	0	0	0	0	0	0	0	0
RNU4-36P	0	0	0	1	0	3	1	2	0
RNU4-39P	0	0	1	0	0	1	0	1	0
RNU4-40P	0	1	2	0	2	2	0	24	3
RNU4-41P	0	0	0	1	1	1	1	2	1
RNU4-44P	0	0	0	0	0	0	0	0	0
RNU4-46P	0	1	0	9	3	2	0	10	5
RNU4-48P	0	0	1	0	0	0	0	1	1
RNU4-49P	0	2	1	2	0	2	4	16	4
RNU4-4P	0	2	0	0	1	0	0	6	1
RNU4-50P	0	0	0	1	0	0	0	2	0
RNU4-51P	0	0	0	0	0	1	0	0	0
RNU4-53P	0	0	2	1	0	0	0	3	1
RNU4-54P	0	0	0	1	0	0	0	5	0
RNU4-55P	0	0	0	0	0	0	0	0	1
RNU4-59P	0	1	0	2	1	2	0	7	0
RNU4-5P	0	0	1	2	2	5	0	43	5
RNU4-61P	0	0	0	0	0	0	0	2	0
RNU4-67P	0	0	0	0	0	0	0	0	0
RNU4-68P	0	0	0	0	0	0	0	5	0
RNU4-6P	0	0	1	1	0	0	0	2	0
RNU4-71P	0	0	0	0	0	0	0	5	0
RNU4-72P	0	0	0	1	1	2	0	3	0
RNU4-74P	0	0	0	0	0	0	0	3	0
RNU4-77P	0	0	1	0	0	0	0	1	1
RNU4-78P	0	0	0	4	1	0	0	0	0
RNU4-7P	0	0	0	2	0	0	1	8	1
RNU4-82P	0	3	5	10	11	13	23	117	15
RNU4-85P	0	0	0	0	0	0	0	0	0
RNU4-87P	0	0	0	0	0	0	0	1	0
RNU4-89P	0	0	0	0	0	0	0	0	0
RNU4-8P	0	0	0	0	0	0	0	0	0
RNU4-90P	0	0	0	0	0	1	0	3	1
RNU4-91P	0	0	0	2	0	1	1	5	1
RNU4-9P	0	0	0	0	0	0	0	0	0
RNU4ATAC	5	45	34	153	81	52	6	75	57
RNU4ATAC3P	0	0	0	0	1	0	0	1	0
RNU5A-1	3	13	13	69	31	34	11	18	77
RNU5A-8P	0	0	0	0	0	0	0	0	0
RNU5D-2P	0	0	1	0	5	0	0	0	0
RNU5E-1	0	0	0	0	3	1	0	0	0
RNU5E-6P	4	40	121	507	268	79	8	106	41
RNU5F-1	14	103	554	1989	1487	198	43	183	267
RNU6-1,p1@RNU6-2	0	2	22	93	23	0	0	3	1
RNU6-1,p2@RNU6-9	0	1	0	1	1	0	0	0	0
RNU6ATAC	0	0	5	12	21	0	0	0	0
RNVU1-1	0	0	0	1	0	0	0	0	0
RNVU1-14	0	2	31	34	17	1	0	2	1
RNVU1-15	5	32	195	600	724	32	0	16	21
RNVU1-17	0	0	0	0	1	0	0	0	0
RNVU1-19	0	0	940	916	1803	30	1	10	15
RNVU1-20,p1@RNVU1-4	0	1	13	31	22	1	0	1	2
RNVU1-21	3	6	24	72	46	6	0	5	7
RNVU1-22	0	1	115	295	156	5	1	3	3
RNVU1-23	0	0	0	0	2	0	0	0	0
RNVU1-24	0	0	2	2	11	2	0	0	2
RNVU1-25	0	1	9	27	21	3	1	0	3
RNVU1-27	9	49	487	786	469	76	6	40	24
RNVU1-28	0	0	1	1	5	0	0	0	1
RNVU1-2A	0	0	2	8	16	3	1	0	3
RNVU1-3	0	0	1	4	3	1	0	2	0
RNVU1-30	0	28	3	71	51	0	1	1	1
RNVU1-32	0	1	0	1	1	0	0	0	1
RNVU1-34	0	0	2	13	4	0	0	0	0
RNVU1-6	3	4	26	118	28	5	0	3	2
RNVU1-7	0	0	0	0	0	0	0	0	0
RNVU1-8	1	0	9	54	19	5	6	0	1
RNY5	0	1	1	1	3	2	1	1	11
RO60	355	458	203	366	301	361	58	257	220
ROBO1	3	21	16	64	18	21	1	29	6
ROBO2	0	0	6	1	5	0	0	0	0
ROBO3	2	17	8	27	12	11	1	15	9
ROBO4	0	0	3	2	2	0	0	0	0
ROCK1	55	417	196	337	272	419	82	325	458
ROCK1P1	4	2	15	1	1	0	0	0	3
ROCK2	19	107	56	82	110	90	14	83	92
ROCR	0	0	1	7	14	0	0	0	1
ROGDI	3	120	23	46	46	57	7	125	121
ROM1	0	1	1	0	5	1	2	1	1
ROMO1	51	469	287	388	228	692	70	1044	423
ROPN1B	0	0	1	0	0	0	0	0	0
ROPN1L	0	8	9	8	10	2	0	8	9
ROPN1L-AS1	0	0	0	1	1	2	0	0	0
ROR1	1	3	1	2	6	1	0	0	0
ROR2	0	0	5	6	14	0	0	0	0
RORA	25	39	50	102	108	30	2	41	25
RORA-AS1	16	53	16	56	42	120	21	78	69
RORA-AS2	0	0	0	0	0	0	0	0	0
RORB	0	0	0	1	1	3	0	0	1
RORB-AS1	0	0	0	1	0	0	0	0	0
RORC	0	0	0	1	5	0	0	1	1
ROS1	0	0	0	0	0	0	0	0	0
RP1	0	0	0	1	0	0	0	0	0
RP1L1	0	0	0	0	0	0	0	0	0
RP2	443	323	186	361	263	205	44	311	206
RP9	22	154	38	53	63	72	8	47	57
RP9P	50	159	81	115	185	112	24	90	83
RPA1	42	367	162	311	367	327	43	426	317
RPA2	70	354	114	137	192	276	52	341	204
RPA3	64	250	56	92	117	244	50	286	156
RPAIN	104	456	186	224	245	384	70	420	273
RPAP1	7	50	24	33	55	68	7	58	29
RPAP2	83	461	121	144	166	510	62	317	288
RPAP3	63	208	126	192	176	262	25	182	137
RPE	70	279	52	106	95	369	40	325	108
RPE65	0	0	0	0	0	0	0	0	0
RPF1	449	610	285	398	401	806	105	508	313
RPF2	257	372	130	151	170	530	101	360	166
RPF2P1	1	0	0	0	0	0	0	0	0
RPGR	17	24	87	183	175	57	6	39	27
RPGRIP1	0	0	0	0	0	0	0	0	0
RPGRIP1L	5	9	9	20	12	29	13	15	14
RPH3A	0	0	0	0	0	0	0	0	0
RPH3AL	0	4	3	2	6	1	0	0	0
RPH3AL-AS1	0	0	0	0	0	0	0	0	0
RPIA	38	168	27	55	60	105	26	144	70
RPL10	74	1054	930	499	1231	1591	342	1224	650
RPL10A	31	349	211	282	345	396	94	316	247
RPL10AP2	1	16	9	13	16	18	5	15	35
RPL10AP3	1	5	2	2	5	6	2	6	2
RPL10L	0	0	0	0	0	0	0	0	0
RPL10P1	0	0	2	1	1	3	0	2	2
RPL10P16	35	284	128	114	189	212	108	226	192
RPL10P2	0	26	9	11	14	13	3	11	9
RPL10P7	3	44	18	9	21	21	9	29	23
RPL10P9	206	4673	1784	1999	2929	2106	623	2713	2114
RPL11	270	2557	1184	1665	1503	2357	271	2327	1333
RPL11P3	26	2227	176	359	430	581	93	331	210
RPL11P5	49	225	89	114	126	202	24	159	105
RPL12	25	130	75	98	163	109	70	118	137
RPL12P13	0	6	2	3	5	3	2	4	3
RPL12P16	0	40	47	38	76	32	7	43	118
RPL12P19	2	26	11	28	27	16	6	10	12
RPL12P32	0	3	2	1	2	7	2	2	4
RPL12P33	0	7	3	3	9	4	1	1	6
RPL12P35	4	15	4	9	6	6	0	3	3
RPL12P4	0	4	1	0	0	3	0	0	2
RPL12P41	0	4	1	4	3	1	0	0	1
RPL13	166	2483	1425	1964	2687	1506	727	2389	2478
RPL13A	338	2545	1345	1367	2040	1866	597	2800	2280
RPL13AP2	3	10	7	6	11	7	7	18	21
RPL13AP20	1	13	7	11	7	9	10	11	13
RPL13AP3	1	2	0	2	0	1	1	2	3
RPL13AP6	0	4	3	3	7	5	6	6	6
RPL13AP7	0	14	8	5	12	10	0	12	8
RPL13P12	0	13	27	68	140	4	4	11	11
RPL13P2	1	8	4	4	11	3	1	5	7
RPL13P5	2	50	13	29	31	71	14	51	32
RPL14	823	4564	5436	4821	5750	6453	785	6047	2643
RPL14P1	21	854	226	476	450	509	190	197	284
RPL14P3	54	127	75	80	136	123	22	65	86
RPL14P5	447	1880	201	1802	2058	1	3	0	10
RPL15	127	988	395	752	689	1231	214	1203	498
RPL15P14	0	6	1	0	4	3	1	1	2
RPL15P18	3	10	7	8	3	12	2	11	7
RPL15P20	1	12	1	3	2	5	3	13	2
RPL15P21	1	28	5	7	8	15	10	14	11
RPL17	10	35	15	28	15	122	16	38	17
RPL17,p1@RPL17-C18orf32	149	345	156	225	212	551	181	321	187
RPL17P10	62	93	23	28	54	96	45	81	61
RPL17P20	3	5	3	1	0	4	2	3	5
RPL17P34	1	7	4	1	7	11	2	6	4
RPL17P50	2	6	0	7	13	22	3	31	2
RPL17P51	11	66	20	9	35	27	6	36	30
RPL18	489	3526	1654	2106	2824	2122	435	3401	1811
RPL18A	12	60	31	37	46	96	20	83	23
RPL18AP15	0	1	1	1	1	0	0	1	3
RPL18AP16	0	4	2	3	4	11	1	4	5
RPL18AP3	0	11	26	34	40	27	7	37	18
RPL18P11	234	643	333	428	534	359	66	449	340
RPL18P13	3	40	12	27	31	20	21	53	39
RPL19	40	248	135	205	173	325	52	270	107
RPL19P11	0	11	5	4	7	6	1	9	6
RPL19P16	4	6	3	2	3	10	1	8	4
RPL19P4	15	60	22	20	36	86	27	51	46
RPL19P5	2	8	5	7	8	11	7	13	14
RPL21	71	143	99	196	194	213	53	167	70
RPL21P1	0	4	1	0	2	0	1	2	1
RPL21P11	1	22	21	16	14	18	5	8	18
RPL21P110	1	9	4	7	4	6	7	4	5
RPL21P116	0	5	1	5	3	7	1	4	0
RPL21P18	0	3	0	0	1	0	0	1	1
RPL21P28	4	14	5	17	6	15	1	15	6
RPL21P3	1	7	0	2	4	7	0	3	3
RPL21P39	2	6	1	3	0	5	1	3	1
RPL21P90	0	2	1	0	0	2	2	4	1
RPL22	982	3577	1747	2610	2478	4379	582	2834	1808
RPL22L1	105	316	348	444	538	280	103	220	204
RPL22P16	110	208	73	138	103	256	39	137	82
RPL22P19	0	1	0	1	1	0	0	0	0
RPL22P2	442	668	413	495	491	1027	133	569	571
RPL22P7	0	1	0	0	1	2	0	0	1
RPL23	1	39	16	34	21	65	16	52	64
RPL23,p2@SNORA21	740	3298	1694	2659	2653	4437	746	3777	3648
RPL23A	27	117	22	33	38	253	21	137	40
RPL23AP1	0	2	0	1	0	2	2	2	1
RPL23AP38	0	0	0	0	0	0	0	0	0
RPL23AP41	0	0	0	0	0	0	0	0	0
RPL23AP43	1	10	2	2	2	5	1	4	6
RPL23AP46	0	1	1	0	0	0	0	0	1
RPL23AP49	1	2	3	3	2	2	1	3	8
RPL23AP61	1	2	0	1	2	4	2	3	1
RPL23AP67	0	1	0	0	0	2	0	1	0
RPL23AP71	0	0	0	0	0	0	0	1	2
RPL23AP74	0	3	3	1	1	3	0	1	0
RPL23AP77	0	2	1	2	1	2	2	2	0
RPL23AP80	2	11	4	4	3	11	5	12	4
RPL23AP82	4	25	8	18	19	27	2	21	10
RPL23AP86	0	6	0	4	2	4	1	3	1
RPL23P2	8	23	14	24	15	39	9	27	36
RPL23P8	1	30	15	46	39	46	8	18	21
RPL24	70	662	437	859	1173	814	293	936	760
RPL24P4	83	555	292	395	413	596	137	563	407
RPL26	673	2628	950	1422	1993	1704	478	2183	759
RPL26L1	24	94	25	46	40	145	29	89	49
RPL26P19	7	86	28	50	68	62	20	84	48
RPL26P3	0	14	6	7	4	10	2	8	6
RPL26P30	15	127	12	26	11	162	20	134	30
RPL26P6	3	40	8	24	23	39	17	45	23
RPL27	43	622	223	388	291	753	126	488	260
RPL27A	96	658	375	566	510	735	111	772	528
RPL27AP	3	5	2	2	2	6	0	4	7
RPL27P6	0	25	11	13	6	15	4	18	14
RPL28	3407	19773	5339	8825	8663	14679	3231	18006	15027
RPL29	229	1940	916	1245	1950	1073	355	1347	1292
RPL29P19	11	176	93	114	118	98	26	121	118
RPL29P33	1	0	1	0	0	2	0	1	0
RPL3	308	2256	1134	719	1514	1387	152	1684	1085
RPL30	223	5620	2655	4435	3864	4403	1288	5762	3486
RPL30P11	0	2	4	7	8	3	0	0	5
RPL30P13	0	0	0	0	0	1	0	0	0
RPL30P5	0	0	0	0	0	0	0	0	0
RPL30P6	0	0	1	0	0	0	0	0	0
RPL30P7	22	86	38	57	46	94	21	78	36
RPL31	90	1275	570	1008	697	1290	204	1294	734
RPL31P16	0	4	1	0	1	0	1	0	1
RPL31P45	2	5	3	2	3	5	0	1	1
RPL31P49	0	4	1	2	3	4	1	2	3
RPL31P57	0	0	0	0	0	0	0	0	0
RPL32	90	576	323	400	728	651	169	452	275
RPL32P13	0	10	8	5	3	15	3	15	14
RPL32P16	3	80	34	49	55	58	11	68	61
RPL32P17	0	6	4	4	5	6	3	7	2
RPL32P18	1	10	2	1	3	23	4	10	6
RPL32P20	0	5	2	5	1	3	2	1	5
RPL32P24	1	17	4	7	9	14	3	18	7
RPL32P3	7	102	37	98	106	127	28	128	144
RPL32P31	1	4	3	5	2	2	1	6	1
RPL32P33	1	14	8	4	8	7	5	10	18
RPL32P34	0	12	5	7	6	5	1	8	4
RPL32P36	2	40	24	21	25	51	11	44	38
RPL32P5	5	45	34	36	34	47	16	74	38
RPL34	76	553	274	394	372	503	114	433	284
RPL34-DT	7	20	9	10	16	32	2	25	12
RPL34P23	2	17	14	20	19	20	2	17	20
RPL34P26	19	188	79	146	99	146	32	175	110
RPL34P34	1	6	4	10	5	7	8	9	6
RPL34P6	0	6	2	3	3	7	4	5	2
RPL35	541	4222	2945	4304	4810	4413	1299	4421	3488
RPL35A	90	1344	704	978	776	1514	275	1234	826
RPL35AP21	25	704	396	583	599	607	23	487	270
RPL35AP29	0	0	1	0	0	1	0	0	1
RPL35AP36	0	8	4	7	4	10	1	7	6
RPL35AP8	0	5	3	3	4	2	0	9	0
RPL35P1	0	1	3	2	0	3	1	1	1
RPL35P2	8	36	1	8	15	78	9	36	7
RPL35P4	0	3	6	9	8	2	0	4	6
RPL36	158	1533	739	920	1138	1487	405	1770	1187
RPL36A	3	10	3	0	0	8	7	4	12
RPL36A,p1@RPL36A-HNRNPH2,p3@RPL36AL	66	658	225	348	338	929	224	636	556
RPL36AL	2523	5512	2149	3472	3197	6180	1350	4623	2856
RPL36AP13	0	1	0	1	1	2	0	1	0
RPL36AP21	76	440	176	409	127	120	58	139	267
RPL36AP39	0	0	0	0	0	2	1	2	0
RPL36P16	0	0	1	2	1	2	0	1	1
RPL36P20	0	0	0	0	0	0	0	0	0
RPL37	2	8	10	23	14	8	2	8	13
RPL37,p1@SNORD72	149	1090	547	656	510	1142	193	570	504
RPL37A	335	6751	3841	6488	5006	6619	1454	6064	4477
RPL37A-DT	2	12	2	5	2	26	0	17	4
RPL37AP1	115	767	502	842	722	933	144	732	571
RPL37P11	0	17	6	5	4	10	2	6	9
RPL37P18	0	1	0	0	1	1	0	1	0
RPL37P2	867	6994	2326	3315	2690	6044	909	3597	2488
RPL37P23	8	101	28	44	29	85	21	45	22
RPL37P3	1	0	0	0	0	1	0	1	0
RPL37P6	10	68	25	32	21	44	15	33	27
RPL38	505	5173	2715	4426	3432	6580	1541	3571	3437
RPL39	17	429	283	404	260	600	122	544	338
RPL39L	1	36	22	49	61	42	7	80	34
RPL39P5	0	0	0	0	0	0	0	0	0
RPL3L	0	0	0	0	0	0	0	0	1
RPL3P2	251	2412	801	499	1064	1444	527	1563	1028
RPL3P6	5	26	20	19	19	14	1	20	36
RPL3P7	77	572	203	397	298	354	69	485	320
RPL4	102	343	149	204	277	327	79	256	140
RPL41	36	346	236	439	439	606	99	507	277
RPL41P2	0	1	0	4	0	0	0	3	1
RPL4P1	0	2	4	3	4	1	0	2	2
RPL4P2	79	143	83	100	126	198	17	147	116
RPL4P4	57	126	49	50	62	184	64	116	118
RPL4P5	3	11	5	3	9	3	2	10	3
RPL5	4342	10000	4587	6538	7378	7472	2060	6953	5417
RPL5P22	0	1	1	5	0	3	1	2	1
RPL6	139	330	122	172	175	503	96	337	180
RPL6P21	1	2	2	1	1	1	1	1	0
RPL6P25	5	8	7	6	7	6	1	9	7
RPL6P27	0	7	6	3	6	8	2	6	30
RPL6P30	1	10	5	4	5	5	2	5	0
RPL6P5	1	4	0	0	1	4	2	3	3
RPL7	15	23	12	26	19	49	8	22	8
RPL7A	25	815	426	577	663	455	113	737	480
RPL7AP10	1	4	2	3	2	3	2	7	4
RPL7AP11	1	17	9	9	11	5	2	10	6
RPL7AP14	31	421	126	186	421	209	35	267	121
RPL7AP30	0	9	1	5	3	3	5	7	4
RPL7AP31	3	30	10	8	9	9	3	9	13
RPL7AP4	0	14	3	9	5	7	2	6	7
RPL7AP50	0	3	0	3	7	0	1	4	0
RPL7AP8	1	30	10	9	15	15	1	31	8
RPL7L1	5	35	12	18	27	39	8	18	23
RPL7P12	1	4	3	2	0	4	0	10	5
RPL7P16	6	43	15	18	20	39	8	28	15
RPL7P20	0	7	0	1	1	3	1	0	1
RPL7P21	7	20	10	15	15	14	1	13	8
RPL7P23	8	25	9	7	7	45	0	27	5
RPL7P24	1	2	0	2	0	0	0	2	5
RPL7P25	0	0	1	1	1	3	0	4	2
RPL7P26	0	14	4	2	7	9	6	6	2
RPL7P27	0	4	1	3	2	15	3	5	5
RPL7P32	2	19	9	9	15	13	2	19	11
RPL7P42	0	1	0	1	1	2	1	3	0
RPL7P44	4	52	23	33	44	57	2	46	20
RPL7P52	1	8	1	2	3	8	0	4	9
RPL7P6	0	5	0	4	3	17	2	9	4
RPL8	335	2425	1553	2312	2582	3704	701	3258	2821
RPL9	58	215	229	441	304	440	65	315	104
RPL9P7	12	147	77	145	141	154	27	146	86
RPLP0	162	733	248	309	500	846	141	846	690
RPLP0P11	0	0	0	0	0	0	0	0	0
RPLP0P2	0	0	0	0	0	0	0	0	0
RPLP0P6	505	4518	1026	1378	1612	4844	1488	5362	4271
RPLP1	567	7015	1850	2679	5279	5271	1071	5590	3983
RPLP1P5	3	37	15	14	13	31	10	31	40
RPLP1P6	0	7	3	6	6	7	1	8	9
RPLP2	1107	11609	6261	8439	8622	11472	4347	13368	11953
RPN1	816	3693	1083	1268	1780	4641	1106	3356	2050
RPN2	260	1107	252	334	317	2359	188	1026	520
RPP14	1	2	0	1	3	3	0	2	3
RPP21	24	237	113	158	156	214	29	276	151
RPP25	2	22	15	24	32	12	3	36	21
RPP25L	9	133	35	58	69	134	19	211	113
RPP30	62	373	132	226	221	538	87	405	335
RPP38	34	188	81	196	116	232	42	188	143
RPP38-DT	0	0	20	92	35	0	0	0	0
RPP40	14	15	3	8	4	41	10	16	6
RPPH1	18	353	405	693	933	104	71	272	365
RPRD1A	84	281	110	174	183	398	36	322	176
RPRD1B	25	254	124	241	226	145	29	175	179
RPRD2	70	301	163	274	278	405	39	284	212
RPRM	0	0	1	0	0	0	0	0	0
RPRML	0	0	0	0	0	0	0	0	0
RPS10,p1@RPS10-NUDT3	738	4275	1653	2471	2296	2662	1172	4132	3583
RPS10,p2@RPS10-NUDT3	6	39	3	5	8	19	17	15	50
RPS10P18	0	0	0	0	0	0	1	0	3
RPS11	169	2123	1250	2286	2195	1971	357	3047	1711
RPS11P6	2	7	3	6	15	3	1	4	3
RPS12,p1@SNORA33	440	6191	1996	3582	2533	4957	1270	4964	4310
