logFC	AveExpr	t	P.Value	adj.P.Val	B
DCUN1D5	1.07176427735398	5.87064524737973	6.11617844439817	4.47335124064832e-06	0.000313523733866322	4.2465341961849
HSPA8	1.55662772535998	9.62178393873915	6.10503816410628	4.58723886516863e-06	0.000313523733866322	4.23768387442769
IKZF1	-1.18247414224759	7.44229945897621	-6.11056460012579	4.53037558791151e-06	0.000313523733866322	4.23043312556219
PHF6	2.07978115150292	6.07490197096706	6.10625795913777	4.57462550176825e-06	0.000313523733866322	4.22911082027743
ZDHHC9	1.55138899452571	2.06324915118113	6.06577202405709	5.01286847441565e-06	0.000329178363153295	4.21643900138508
UAP1	1.57783407525952	5.6079653085967	6.08703189118089	4.77762962303801e-06	0.000319446279038025	4.19135306816524
TLK1	1.31229152894538	6.18170523502733	6.08744389555156	4.77318409783043e-06	0.000319446279038025	4.19076115273056
TRIB1	4.70679648931028	1.71758707385914	6.04794893525399	5.21919610654333e-06	0.00033700375800279	4.18486842882269
ADAM17	1.48253335751312	5.67138802855442	6.08486559295545	4.80107376677035e-06	0.000319446279038025	4.1814740787438
MVB12B	-2.03070532166971	2.85931252676059	-6.0544484667053	5.14296670262439e-06	0.000335528483514722	4.1679412130627
SEC24D	1.45756221580063	7.16325547934592	6.07747483367331	4.88194775713244e-06	0.000322690323130984	4.15590708925322
GFI1B	-2.58619367088722	3.09776947783678	-6.0147671081679	5.62677155109031e-06	0.000357798568188635	4.11575161165267
KCNE3	-2.21401646706132	4.64199986254373	-6.01009726306517	5.68669012915609e-06	0.000359334438538561	4.11538804705162
CD109	1.35301626879967	5.90961671992548	6.04681063270273	5.23266509887879e-06	0.00033700375800279	4.10059514276566
GRAMD1A	-1.08619913847446	4.70618813231471	-5.9973883782168	5.85308340765317e-06	0.000365254217370754	4.06513029978284
CSF2RB	-1.53983711980029	7.45342613217331	-6.0345795805037	5.3796527153093e-06	0.000344263508475876	4.06399383442918
SERPINE2	2.4959682387162	3.53764593941534	5.97741941682526	6.12465201396754e-06	0.000370198853661898	4.0363919384561
CBX4	-1.19083325290772	5.48611878639577	-5.98762274276231	5.98431848026355e-06	0.000368861642768146	4.0091738653454
FST	3.74166964076619	4.21677493331071	5.97273187942922	6.19024658258176e-06	0.000370198853661898	4.00916920405578
ANKRD27	-1.09410777786011	5.64441135736459	-5.99066642384332	5.94309647834804e-06	0.00036858203899977	4.0056388943894
PACS2	-0.974483313652455	4.7929437511562	-5.97350347887328	6.17940010597035e-06	0.000370198853661898	4.0049808222693
ZNF618	-1.19837504009568	4.70028743116365	-5.9583294726977	6.39631431783356e-06	0.000378022176183964	3.98786639896094
PCGF5	1.40575032505194	6.20204561814184	5.99906810259983	5.83080886255563e-06	0.000365254217370754	3.98477334696483
MOB3A	-1.70898576525603	5.88247183296359	-5.96187469460115	6.34494786781371e-06	0.000377205273538014	3.9510610606048
DTNBP1	-1.34156948409261	5.18367560176635	-5.95327290340851	6.4703151142663e-06	0.000380159391538208	3.94622317818151
PIKFYVE	0.724165924431903	6.80644189298051	5.98162610181635	6.06639130338644e-06	0.000370198853661898	3.93993798938882
GNL3	1.19801168374047	6.42407736378112	5.97321399187248	6.18346718430357e-06	0.000370198853661898	3.92823004471982
IL5	4.75630527770235	3.82193973323455	5.91278613585063	7.09528990025917e-06	0.000409691825447723	3.90193090449248
NUTM2B-AS1	1.45416498621253	4.03561250492957	5.90705084114626	7.18868374635282e-06	0.000412712603426324	3.8532335661087
UCP2	1.59294027278691	6.56064790884335	5.91745208506948	7.02022450700974e-06	0.000409691825447723	3.81845638894199
SDCBP	1.57049954194456	9.44356001402109	5.9140495162337	7.07488413002983e-06	0.000409691825447723	3.80810468494776
SLFN5	-1.86719898647011	6.07877301117773	-5.88407677331923	7.57556620057945e-06	0.00043000968145323	3.7791357224316
TBC1D23	0.88730336887642	5.60833746333715	5.89327306554952	7.41820951583248e-06	0.000423470176168005	3.76578698581067
SLC41A2	2.00565795286284	3.45042179715228	5.83541680425487	8.46679162335451e-06	0.000472588085776904	3.72848091333011
KIF21A	2.79275387465677	2.89266892151445	5.82275036355636	8.71588321203478e-06	0.000478947498790377	3.71115869201095
BZW1	1.56129621812608	8.32570513365837	5.87594684908037	7.71751513580303e-06	0.000435606036906815	3.71077687807425
PIK3R3	-1.89537427646945	3.19143599328262	-5.81668064075313	8.83788697342465e-06	0.000478947498790377	3.69148559041514
HECTD2	2.43323623492888	3.09550342245047	5.81035253893203	8.96694186296031e-06	0.000478947498790377	3.68372818674272
BCL2A1	3.7896763810057	1.82411174553079	5.80597061796463	9.05743254406008e-06	0.000478947498790377	3.6604466982963
PTPN7	1.80144276509904	8.27173741999293	5.85009332300257	8.18724292233416e-06	0.000459537595758052	3.65259441193776
IPPK	1.3545960281486	4.32321702168904	5.81997969272741	8.77135998316493e-06	0.000478947498790377	3.6509221723471
CAMK2G	-1.198018340521	4.99183104831987	-5.79725111246497	9.2402819926859e-06	0.000481021311816141	3.61618099168593
TSR1	1.25042264446561	4.83729460160892	5.81343423646608	8.90385529443279e-06	0.000478947498790377	3.60920731030357
GRPEL1	0.942705155506365	5.80974393328828	5.82939170845708	8.58435850412447e-06	0.000476503038071484	3.60574718685887
MRPL39	1.01411223192183	5.21340808192185	5.81002767114103	8.97361888847623e-06	0.000478947498790377	3.58102224202158
BRIX1P1	1.47779150574108	1.39281176423962	5.76029260416434	1.00581225179241e-05	0.000509497449576455	3.57696470180707
JUP	-1.28717281444865	6.65268361252958	-5.80603087441405	9.05618189189149e-06	0.000478947498790377	3.55994602193749
ARFGAP3	1.11189673670934	5.9135227987321	5.80342970509202	9.11033124907734e-06	0.000479222502929215	3.5575316969821
HSPA9	1.18303214691656	7.57125669431291	5.80759588962568	9.02376091685886e-06	0.000478947498790377	3.55057595217718
CLCN5	2.73421975027528	3.88793350680199	5.76186460945596	1.00218752756729e-05	0.000509497449576455	3.5452002329941
TMEM9	-1.2899011558112	2.5665498283407	-5.758847190841	1.0091568872869e-05	0.000509497449576455	3.54459503446253
SLBP	-0.803641623672	6.68676463271465	-5.79902977956546	9.20267951812088e-06	0.000481021311816141	3.53448016604597
PLSCR1	1.71993697701709	5.9742036543402	5.79492883754766	9.28961299222408e-06	0.000481096606870491	3.52554691840469
SSR3	0.870786612879138	7.83846305808651	5.79008318850799	9.39341447760566e-06	0.000482867240114889	3.51175460466992
KPNA1	0.679874474442363	6.37383959622382	5.78885442378817	9.4199242622194e-06	0.000482867240114889	3.50772818939023
FAM110A	-2.3258673119459	5.66071195153761	-5.7421505512314	1.04862530049181e-05	0.000521561306635703	3.49687766149073
OGT	1.67029956552662	6.92297680772086	5.75394573909832	1.02058341885504e-05	0.000510972702787539	3.4378702011819
JPH4	-1.67443566247586	4.51170523057317	-5.70299987125726	1.14746656360768e-05	0.000552395554188907	3.43684511195976
GPAT3	1.18836108065188	6.67883434817302	5.75323530007387	1.02225055499448e-05	0.000510972702787539	3.43198272411349
SFMBT1	0.920523032988413	3.90238779833081	5.70030732828542	1.15460402487977e-05	0.000552395554188907	3.412337546338
BYSL	1.57951694594927	3.39317993683768	5.68916101356983	1.18463605512518e-05	0.000561416907822767	3.40937626655272
